Date,Sex,Team/ athlete 1 / country,Team/ athlete 2/ country,Sport,Event,Result,Type of result,Position,Qualify?,Record?,
08/03/2012,M,Brahim Taleb,Morocco,Athletics,Men's 3000m Steeplechase rd 1,08:29.0,metres,20,Q,,
08/03/2012,M,Abdalaati Iguider,Morocco,Athletics,Men's 1500m rd 1,03:41.1,metres,20,Q,,
08/03/2012,W,Jun Hoong Cheong (Mas),,Diving,Women's 3m Springboard Preliminary,272.45,points,20,Q,,
08/03/2012,M,Xiaoyi Zhang,China,Athletics,Men's Long Jump Qualifying rd - Group A,7.25,metres,20,,,
08/03/2012,W,Uhunoma Osazuwa,Nigeria,Athletics,Women's Heptathlon High Jump - Group A,1.77,metres,20,,,
08/03/2012,W,Sviatlana Khakhlova,Belarus,Swimming,Women's 50m Freestyle Heats,25.36,time,20,,,
08/03/2012,M,Suhrob Khodjaev,Uzbekistan,Athletics,Men's Hammer Throw Qualifying rd - Group A,65.88,metres,20,,,
08/03/2012,M,Simon Groteluschen,Germany,Sailing,Laser - Men's One Person Dinghy - Race 07,20,points,20,,,
08/03/2012,W,Paige Railey,United States,Sailing,Laser Radial - Women's One Person Dinghy - Race 08,20,points,20,,,
08/03/2012,W,Olha Skrypak,Ukraine,Athletics,"Women's 10,000m Final",32:14.6,metres,20,,,
08/03/2012,W,Olga Kurban,Russian Federation,Athletics,Women's Heptathlon High Jump,1.8,metres,20,,,
08/03/2012,W,Nazli Cagla Donertas,Turkey,Sailing,Laser Radial - Women's One Person Dinghy - Race 07,20,points,20,,,
08/03/2012,W,Nafissa Souleymane,Nge,Athletics,Women's 100m Preliminaries,12.81,metres,20,,,
08/03/2012,W,Nadine Broersen,Netherlands,Athletics,Women's Heptathlon,3724,metres,20,,,
08/03/2012,W,Nadine Broersen,Netherlands,Athletics,Women's Heptathlon Shot Put,13.57,metres,20,,,
08/03/2012,W,Keila Costa,Brazil,Athletics,Women's Triple Jump Qualifying Rounds,13.84,metres,20,,,
08/03/2012,M,Jinzhe Li,China,Athletics,Men's Long Jump Qualifying Rounds,7.77,metres,20,,,
08/03/2012,W,Irina Karpova,Kazakhstan,Athletics,Women's Heptathlon Shot Put - Group A,11.68,metres,20,,,
08/03/2012,M,Huseyin Atici,Turkey,Athletics,Men's Shot Put Qualifying Rounds,19.74,metres,20,,,
08/03/2012,M,Gustavo Lima,Portugal,Sailing,Laser - Men's One Person Dinghy - Race 08,20,points,20,,,
08/03/2012,W,Grit Sadeiko,Estonia,Athletics,Women's Heptathlon 100m Hurdles,13.5,metres,20,,,
08/03/2012,M,Greg Douglas,Canada,Sailing,Finn - Men's One Person Dinghy (Heavyweight) - Race 09,20,points,20,,,
08/03/2012,M,Dzmitry Marshin,Azerbaijan,Athletics,Men's Hammer Throw Qualifying Rounds,72.85,metres,20,,,
08/03/2012,*,Ashley Holzer,Canada,Equestrian,Dressage Individual Grand Prix,71.809,points,20,,,
08/03/2012,M,Anthony Pannier,France,Swimming,Men's 1500m Freestyle Heats,15:24.1,time,20,,,
08/03/2012,M,Alican Kaynar,Turkey,Sailing,Finn - Men's One Person Dinghy (Heavyweight) - Race 10,20,points,20,,,
08/03/2012,M,Alex Misael Suligoy,Argentina,Shooting,50m Rifle Prone Men's Qualification,593,points,20,,,
08/03/2012,M,Greece,,Sailing,49er - Men's Skiff - Race 09,20,points,20,,,
08/03/2012,M,Great Britain,,Sailing,49er - Men's Skiff - Race 11,20,points,20,,,
08/03/2012,W,Austria,,Sailing,470 - Women's Two Person Dinghy - Race 01,20,points,20,,,
08/03/2012,M,Greece,,Sailing,470 - Men's Two Person Dinghy - Race 03,20,points,20,,,
08/03/2012,W,Argentina,,Sailing,470 - Women's Two Person Dinghy - Race 02,20,points,20,,,
08/03/2012,M,South Africa,,Sailing,470 - Men's Two Person Dinghy - Race 04,20,points,20,,,
08/03/2012,M,Yuri Floriani,Italy,Athletics,Men's 3000m Steeplechase rd 1,08:29.0,metres,19,Q,,
08/03/2012,W,Olesya Povh,Ukraine,Athletics,Women's 100m rd 1,11.18,metres,19,Q,,
08/03/2012,M,Brent Larue,Slovenia,Athletics,Men's 400m Hurdles rd 1,49.38,metres,19,Q,PB,
08/03/2012,W,Aliann Pompey,Guyana,Athletics,Women's 400m rd 1,52.1,metres,19,Q,,
08/03/2012,W,Anastasiia Pozdniakova (Rus),,Diving,Women's 3m Springboard Preliminary,286.5,points,19,Q,,
08/03/2012,M,Zach Railey,United States,Sailing,Finn - Men's One Person Dinghy (Heavyweight) - Race 10,19,points,19,,,
08/03/2012,W,Yana Maksimava,Belarus,Athletics,Women's Heptathlon,3724,metres,19,,,
08/03/2012,W,Triin Aljand,Estonia,Swimming,Women's 50m Freestyle Heats,25.33,time,19,,,
08/03/2012,W,Tatiana Drozdovskaya,Belarus,Sailing,Laser Radial - Women's One Person Dinghy - Race 07,19,points,19,,,
08/03/2012,W,Sharon Day,United States,Athletics,Women's Heptathlon High Jump - Group A,1.77,metres,19,,,
08/03/2012,M,Sergei Kovalenko,Russian Federation,Shooting,50m Rifle Prone Men's Qualification,593,points,19,,,
08/03/2012,W,Sarah Steyaert,France,Sailing,Laser Radial - Women's One Person Dinghy - Race 08,19,points,19,,,
08/03/2012,M,Roberto Janet,Cuba,Athletics,Men's Hammer Throw Qualifying Rounds,73.34,metres,19,,,
08/03/2012,M,Rob Crane,United States,Sailing,Laser - Men's One Person Dinghy - Race 07,19,points,19,,,
08/03/2012,M,Om Prakash Singh,India,Athletics,Men's Shot Put Qualifying Rounds,19.86,metres,19,,,
08/03/2012,M,Mustafa Cakir,Turkey,Sailing,Laser - Men's One Person Dinghy - Race 08,19,points,19,,,
08/03/2012,*,Morgan Barbancon Mestres,Spa,Equestrian,Dressage Individual Grand Prix,72.751,points,19,,,
08/03/2012,W,Maysa Rejepova,Turkmenistan,Athletics,Women's 100m Preliminaries,12.8,metres,19,,PB,
08/03/2012,W,Josleidy Ribalta,Cuba,Athletics,Women's Triple Jump Qualifying Rounds,13.88,metres,19,,,
08/03/2012,M,Jorge Zarif,Brazil,Sailing,Finn - Men's One Person Dinghy (Heavyweight) - Race 09,19,points,19,,,
08/03/2012,M,Gergo Kis,Hungary,Swimming,Men's 1500m Freestyle Heats,15:21.7,time,19,,,
08/03/2012,M,George Kitchens,United States,Athletics,Men's Long Jump Qualifying rd - Group B,6.84,metres,19,,,
08/03/2012,W,Elizaveta Grechishnikova,Russian Federation,Athletics,"Women's 10,000m Final",32:11.3,metres,19,,,
08/03/2012,W,Eliska Klucinova,Czech Republic,Athletics,Women's Heptathlon Shot Put - Group A,12.93,metres,19,,,
08/03/2012,M,Damar Forbes,Jamaica,Athletics,Men's Long Jump Qualifying Rounds,7.79,metres,19,,,
08/03/2012,W,Dafne Schippers,Netherlands,Athletics,Women's Heptathlon Shot Put,13.67,metres,19,,,
08/03/2012,W,Chantae Mcmillan,United States,Athletics,Women's Heptathlon 100m Hurdles,13.49,metres,19,,,
08/03/2012,M,Boleslav Skhirtladze,Georgia,Athletics,Men's Long Jump Qualifying rd - Group A,7.26,metres,19,,,
08/03/2012,W,Antoinette Nana Djimou Ida,France,Athletics,Women's Heptathlon High Jump,1.8,metres,19,,,
08/03/2012,M,Alexandros Papadimitriou,Greece,Athletics,Men's Hammer Throw Qualifying rd - Group A,67.19,metres,19,,,
08/03/2012,M,Adriatik Hoxha,Albania,Athletics,Men's Shot Put Qualifying rd - Group A,17.58,metres,19,,,
08/03/2012,M,Greece,,Sailing,49er - Men's Skiff - Race 10,19,points,19,,,
08/03/2012,M,Croatia,,Sailing,49er - Men's Skiff - Race 09,19,points,19,,,
08/03/2012,M,Sweden,,Sailing,49er - Men's Skiff - Race 11,19,points,19,,,
08/03/2012,W,Germany,,Sailing,470 - Women's Two Person Dinghy - Race 01,19,points,19,,,
08/03/2012,M,Netherlands,,Sailing,470 - Men's Two Person Dinghy - Race 03,19,points,19,,,
08/03/2012,W,China,,Sailing,470 - Women's Two Person Dinghy - Race 02,19,points,19,,,
08/03/2012,M,Austria,,Sailing,470 - Men's Two Person Dinghy - Race 04,19,points,19,,,
08/03/2012,M,Nicholas Willis,New Zealand,Athletics,Men's 1500m rd 1,03:40.9,metres,18,Q,,
08/03/2012,W,Joanne Cuddihy,Ireland,Athletics,Women's 400m rd 1,52.09,metres,18,Q,,
08/03/2012,M,Jehue Gordon,Trinidad and Tobago,Athletics,Men's 400m Hurdles rd 1,49.37,metres,18,Q,,
08/03/2012,M,Brimin Kiprop Kipruto,Kenya,Athletics,Men's 3000m Steeplechase rd 1,08:28.6,metres,18,Q,,
08/03/2012,M,Andrew Wheating,United States,Athletics,Men's 1500m rd 1,03:40.9,metres,18,Q,,
08/03/2012,W,Jaele Patrick (Aus),,Diving,Women's 3m Springboard Preliminary,289.65,points,18,Q,,
08/03/2012,W,Simona La Mantia,Italy,Athletics,Women's Triple Jump Qualifying Rounds,13.92,metres,18,,,
08/03/2012,W,Sharon Day,United States,Athletics,Women's Heptathlon,3740,metres,18,,,
08/03/2012,W,Sarah Cowley,New Zealand,Athletics,Women's Heptathlon High Jump,1.8,metres,18,,,
08/03/2012,M,Roman Novotny,Czech Republic,Athletics,Men's Long Jump Qualifying rd - Group B,6.96,metres,18,,,
08/03/2012,*,Richard Davison,United Kingdom,Equestrian,Dressage Individual Grand Prix,72.812,points,18,,,
08/03/2012,M,Paul Goodison,United Kingdom,Sailing,Laser - Men's One Person Dinghy - Race 07,18,points,18,,,
08/03/2012,W,Olga Kurban,Russian Federation,Athletics,Women's Heptathlon High Jump - Group A,1.8,metres,18,,,
08/03/2012,W,Olga Kurban,Russian Federation,Athletics,Women's Heptathlon Shot Put,13.71,metres,18,,,
08/03/2012,M,Oleksiy Borysov,Ukraine,Sailing,Finn - Men's One Person Dinghy (Heavyweight) - Race 10,18,points,18,,,
08/03/2012,M,Oleksandr Dryhol,Ukraine,Athletics,Men's Hammer Throw Qualifying rd - Group A,69.57,metres,18,,,
08/03/2012,M,Odinn Bjorn Thorsteinsson,Icl,Athletics,Men's Shot Put Qualifying rd - Group A,17.62,metres,18,,,
08/03/2012,M,Nedzad Mulabegovic,Croatia,Athletics,Men's Shot Put Qualifying Rounds,19.86,metres,18,,,
08/03/2012,W,Nadia Ejjafini,Italy,Athletics,"Women's 10,000m Final",31:57.0,metres,18,,,
08/03/2012,W,Louise Hazel,United Kingdom,Athletics,Women's Heptathlon High Jump - Group B,1.59,metres,18,,,
08/03/2012,W,Katarina Johnson-Thompson,United Kingdom,Athletics,Women's Heptathlon Shot Put - Group B,11.32,metres,18,,,
08/03/2012,M,Juan Ignacio Cerra,Argentina,Athletics,Men's Hammer Throw Qualifying rd - Group B,68.2,metres,18,,,
08/03/2012,M,Jean Baptiste Bernaz,France,Sailing,Laser - Men's One Person Dinghy - Race 08,18,points,18,,,
08/03/2012,M,Jarrod Poort,Australia,Swimming,Men's 1500m Freestyle Heats,15:20.8,time,18,,,
08/03/2012,M,Ignisious Gaisah,Ghana,Athletics,Men's Long Jump Qualifying Rounds,7.79,metres,18,,,
08/03/2012,W,Hanna Melnychenko,Ukraine,Athletics,Women's Heptathlon Shot Put - Group A,12.96,metres,18,,,
08/03/2012,M,Gagan Narang,India,Shooting,50m Rifle Prone Men's Qualification,593,points,18,,,
08/03/2012,W,Francesca Clapcich,Italy,Sailing,Laser Radial - Women's One Person Dinghy - Race 07,18,points,18,,,
08/03/2012,M,Filippo Baldassari,Italy,Sailing,Finn - Men's One Person Dinghy (Heavyweight) - Race 09,18,points,18,,,
08/03/2012,M,Emanuele Fuamatu,Samoa,Athletics,Men's Shot Put Qualifying rd - Group B,17.78,metres,18,,,
08/03/2012,W,Elizabeth Yin,Singapore,Sailing,Laser Radial - Women's One Person Dinghy - Race 08,18,points,18,,,
08/03/2012,M,David J Chapman,Australia,Shooting,25m Rapid Fire Pistol Men's Qualification,559,points,18,,,
08/03/2012,W,Cristina Llovera,Andorra,Athletics,Women's 100m Preliminaries,12.78,metres,18,,,
08/03/2012,W,Athanasia Perra,Greece,Athletics,Women's Triple Jump Qualifying rd - Group B,11.93,metres,18,,,
08/03/2012,M,Ali Mohamed Al-Zinkawi,Kuwait,Athletics,Men's Hammer Throw Qualifying Rounds,73.4,metres,18,,,
08/03/2012,M,Afanasijs Kuzmins,Latvia,Shooting,25m Rapid Fire Pistol Men's Qualification - Stage 2,280,points,18,,,
08/03/2012,M,Japan,,Sailing,49er - Men's Skiff - Race 10,18,points,18,,,
08/03/2012,M,Japan,,Sailing,49er - Men's Skiff - Race 09,18,points,18,,,
08/03/2012,M,Greece,,Sailing,49er - Men's Skiff - Race 11,18,points,18,,,
08/03/2012,W,China,,Sailing,470 - Women's Two Person Dinghy - Race 01,18,points,18,,,
08/03/2012,M,Switzerland,,Sailing,470 - Men's Two Person Dinghy - Race 03,18,points,18,,,
08/03/2012,W,France,,Sailing,470 - Women's Two Person Dinghy - Race 02,18,points,18,,,
08/03/2012,M,Turkey,,Sailing,470 - Men's Two Person Dinghy - Race 04,18,points,18,,,
08/03/2012,W,Ruddy Zang Milama,Gabon,Athletics,Women's 100m rd 1,11.14,metres,17,Q,,
08/03/2012,M,Jose Reynaldo Bencosme De Leon,Italy,Athletics,Men's 400m Hurdles rd 1,49.35,metres,17,Q,,
08/03/2012,W,Ezinne Okparaebo,Norway,Athletics,Women's 100m rd 1,11.14,metres,17,Q,NR,
08/03/2012,M,Andrew Baddeley,United Kingdom,Athletics,Men's 1500m rd 1,03:40.3,metres,17,Q,,
08/03/2012,W,Alina Lohvynenko,Ukraine,Athletics,Women's 400m rd 1,52.08,metres,17,Q,,
08/03/2012,W,Hannah Starling (Gbr),,Diving,Women's 3m Springboard Preliminary,298.95,points,17,Q,,
08/03/2012,*,Victoria Max-Theurer,Austria,Equestrian,Dressage Individual Grand Prix,73.267,points,17,,,
08/03/2012,W,Veronika Mosina,Russian Federation,Athletics,Women's Triple Jump Qualifying Rounds,13.96,metres,17,,,
08/03/2012,W,Veronika Fenclova,Czech Republic,Sailing,Laser Radial - Women's One Person Dinghy - Race 07,17,points,17,,,
08/03/2012,W,Vera Pospisilova-Cechlova,Czech Republic,Athletics,Women's Discus Throw Qualifying rd - Group A,55,metres,17,,,
08/03/2012,M,Tapio Nirkko,Finland,Sailing,Finn - Men's One Person Dinghy (Heavyweight) - Race 10,17,points,17,,,
08/03/2012,W,Sviatlana Siarova,Belarus,Athletics,Women's Discus Throw Qualifying rd - Group B,56.7,metres,17,,,
08/03/2012,M,Supanara Sukhasvasti N A,Thailand,Athletics,Men's Long Jump Qualifying rd - Group A,7.38,metres,17,,,
08/03/2012,M,Stephen Saenz,Mexico,Athletics,Men's Shot Put Qualifying rd - Group A,18.65,metres,17,,,
08/03/2012,M,Serghei Marghiev,Mol,Athletics,Men's Hammer Throw Qualifying rd - Group A,69.76,metres,17,,,
08/03/2012,W,Sara Aerts,Belgium,Athletics,Women's Heptathlon High Jump - Group B,1.65,metres,17,,SB,
08/03/2012,W,Sabrina Mockenhaupt,Germany,Athletics,"Women's 10,000m Final",31:50.3,metres,17,,,
08/03/2012,M,Pal Joensen,Denmark,Swimming,Men's 1500m Freestyle Heats,15:18.4,time,17,,,
08/03/2012,M,Oleksiy Borysov,Ukraine,Sailing,Finn - Men's One Person Dinghy (Heavyweight) - Race 09,17,points,17,,,
08/03/2012,M,Mohammad Arzandeh,"Iran, Islamic Republic Of",Athletics,Men's Long Jump Qualifying Rounds,7.84,metres,17,,,
08/03/2012,M,Mohamed Fathalla Difallah,Egypt,Athletics,Men's Long Jump Qualifying rd - Group B,7.08,metres,17,,,
08/03/2012,M,Mergen Mamedov,Turkmenistan,Athletics,Men's Hammer Throw Qualifying rd - Group B,68.39,metres,17,,,
08/03/2012,W,Lidiane Lopes,Cape Verde,Athletics,Women's 100m Preliminaries,12.72,metres,17,,,
08/03/2012,W,Karolina Tyminska,Poland,Athletics,Women's Heptathlon Shot Put,13.74,metres,17,,,
08/03/2012,M,Jonathan Hammond,United Kingdom,Shooting,50m Rifle Prone Men's Qualification,593,points,17,,,
08/03/2012,W,Jessica Samuelsson,Sweden,Athletics,Women's Heptathlon,3743,metres,17,,,
08/03/2012,M,Javier Hernandez Cebrian,Spa,Sailing,Laser - Men's One Person Dinghy - Race 08,17,points,17,,,
08/03/2012,W,Ivona Dadic,Austria,Athletics,Women's Heptathlon High Jump,1.8,metres,17,,,
08/03/2012,W,Hyleas Fountain,United States,Athletics,Women's Heptathlon Shot Put - Group B,11.99,metres,17,,,
08/03/2012,M,Esref Apak,Turkey,Athletics,Men's Hammer Throw Qualifying Rounds,73.47,metres,17,,,
08/03/2012,M,David J Chapman,Australia,Shooting,25m Rapid Fire Pistol Men's Qualification - Stage 2,281,points,17,,,
08/03/2012,W,Danielle Dube,Canada,Sailing,Laser Radial - Women's One Person Dinghy - Race 08,17,points,17,,,
08/03/2012,M,Cy Thompson,Vgb,Sailing,Laser - Men's One Person Dinghy - Race 07,17,points,17,,,
08/03/2012,M,Ching-Hsuan Lin,"Taiwan, Province Of China",Athletics,Men's Long Jump Qualifying rd - Group A,7.38,metres,17,,,
08/03/2012,M,Carlos Veliz,Cuba,Athletics,Men's Shot Put Qualifying rd - Group B,18.57,metres,17,,,
08/03/2012,W,Antoinette Nana Djimou Ida,France,Athletics,Women's Heptathlon High Jump - Group A,1.8,metres,17,,,
08/03/2012,M,Andrei Mikhnevich,Belarus,Athletics,Men's Shot Put Qualifying Rounds,19.89,metres,17,,,
08/03/2012,W,Anastasiya Juravleva,Uzbekistan,Athletics,Women's Triple Jump Qualifying rd - Group B,13.54,metres,17,,,
08/03/2012,M,Ali Ahmed Al-Amri,Saudi Arabia,Athletics,Men's 3000m Steeplechase rd 1,08:26.2,metres,17,,SB,
08/03/2012,W,Aiga Grabuste,Latvia,Athletics,Women's Heptathlon Shot Put - Group A,13.52,metres,17,,,
08/03/2012,M,Afanasijs Kuzmins,Latvia,Shooting,25m Rapid Fire Pistol Men's Qualification,569,points,17,,,
08/03/2012,M,United States,,Sailing,49er - Men's Skiff - Race 10,17,points,17,,,
08/03/2012,M,Great Britain,,Sailing,49er - Men's Skiff - Race 09,17,points,17,,,
08/03/2012,M,Croatia,,Sailing,49er - Men's Skiff - Race 11,17,points,17,,,
08/03/2012,W,Sweden,,Sailing,470 - Women's Two Person Dinghy - Race 01,17,points,17,,,
08/03/2012,M,Israel,,Sailing,470 - Men's Two Person Dinghy - Race 03,17,points,17,,,
08/03/2012,W,Croatia,,Sailing,470 - Women's Two Person Dinghy - Race 02,17,points,17,,,
08/03/2012,M,Finland,,Sailing,470 - Men's Two Person Dinghy - Race 04,17,points,17,,,
08/03/2012,W,Shana Cox,United Kingdom,Athletics,Women's 400m rd 1,52.01,metres,16,Q,,
08/03/2012,M,Nathan Brannen,Canada,Athletics,Men's 1500m rd 1,03:40.0,metres,16,Q,,
08/03/2012,W,Gloria Asumnu,Nigeria,Athletics,Women's 100m rd 1,11.13,metres,16,Q,,
08/03/2012,M,Amaechi Morton,Nigeria,Athletics,Men's 400m Hurdles rd 1,49.34,metres,16,Q,,
08/03/2012,W,Rebecca Gallantree (Gbr),,Diving,Women's 3m Springboard Preliminary,299.25,points,16,Q,,
08/03/2012,W,Yaime Perez,Cuba,Athletics,Women's Discus Throw Qualifying rd - Group A,57.87,metres,16,,,
08/03/2012,M,Vagelis Himonas,Greece,Sailing,Laser - Men's One Person Dinghy - Race 07,16,points,16,,,
08/03/2012,W,Theodora Drakou,Greece,Swimming,Women's 50m Freestyle Semi-final,25.28,time,16,,,
08/03/2012,W,Tatyana Chernova,Russian Federation,Athletics,Women's Heptathlon High Jump,1.8,metres,16,,,
08/03/2012,W,Tatiana Drozdovskaya,Belarus,Sailing,Laser Radial - Women's One Person Dinghy - Race 08,16,points,16,,,
08/03/2012,M,Steven Gluckstein,United States,Gymnastics Trampoline,Men's Qualification,61.02,points,16,,,
08/03/2012,M,Stepan Wagner,Czech Republic,Athletics,Men's Long Jump Qualifying rd - Group A,7.5,metres,16,,,
08/03/2012,M,Sergey Morgunov,Russian Federation,Athletics,Men's Long Jump Qualifying Rounds,7.87,metres,16,,,
08/03/2012,W,Sarah Cowley,New Zealand,Athletics,Women's Heptathlon High Jump - Group A,1.8,metres,16,,,
08/03/2012,W,Sarah Blake Bateman,Icl,Swimming,Women's 50m Freestyle Heats,25.28,time,16,,,
08/03/2012,W,Rima Taha,Jordan,Athletics,Women's 100m Preliminaries,12.66,metres,16,,PB,
08/03/2012,M,Ralf Schumann,Germany,Shooting,25m Rapid Fire Pistol Men's Qualification,577,points,16,,,
08/03/2012,M,Ralf Bartels,Germany,Athletics,Men's Shot Put Qualifying Rounds,20,metres,16,,,
08/03/2012,M,Piotr Kula,Poland,Sailing,Finn - Men's One Person Dinghy (Heavyweight) - Race 10,16,points,16,,,
08/03/2012,W,Philipine Van Aanholt,Ioa,Sailing,Laser Radial - Women's One Person Dinghy - Race 07,16,points,16,,,
08/03/2012,W,Patricia Sarrapio,Spa,Athletics,Women's Triple Jump Qualifying rd - Group B,13.64,metres,16,,,
08/03/2012,M,Nezir Sagir,Turkey,Weightlifting,Men's 85kg,315,points,16,,,
08/03/2012,W,Mika Yoshikawa,Japan,Athletics,"Women's 10,000m Final",31:47.7,metres,16,,,
08/03/2012,W,Lyudmyla Yosypenko,Ukraine,Athletics,Women's Heptathlon Shot Put,13.9,metres,16,,,
08/03/2012,M,Luis Rivera,Mexico,Athletics,Men's Long Jump Qualifying rd - Group B,7.42,metres,16,,,
08/03/2012,W,Karolina Tyminska,Poland,Athletics,Women's Heptathlon High Jump - Group B,1.68,metres,16,,,
08/03/2012,W,Karin Prinsloo,South Africa,Swimming,Women's 200m Backstroke Semi-final,02:11.4,time,16,,,
08/03/2012,W,Kara Lynn Joyce,United States,Swimming,Women's 50m Freestyle Heats,25.28,time,16,,,
08/03/2012,M,Jose Pena,"Venezuela, Bolivarian Republic Of",Athletics,Men's 3000m Steeplechase rd 1,08:24.1,metres,16,,NR,
08/03/2012,M,Javier Cienfuegos,Spa,Athletics,Men's Hammer Throw Qualifying Rounds,73.73,metres,16,,,
08/03/2012,W,Ivona Dadic,Austria,Athletics,Women's Heptathlon Shot Put - Group B,12.19,metres,16,,,
08/03/2012,W,Irina Rodrigues,Portugal,Athletics,Women's Discus Throw Qualifying rd - Group B,57.23,metres,16,,,
08/03/2012,M,Igor Lisovenko,Russian Federation,Sailing,Laser - Men's One Person Dinghy - Race 08,16,points,16,,,
08/03/2012,W,Hanna Melnychenko,Ukraine,Athletics,Women's Heptathlon,3752,metres,16,,,
08/03/2012,M,Eric Uptagrafft,United States,Shooting,50m Rifle Prone Men's Qualification,594,points,16,,,
08/03/2012,M,Emil Milev,United States,Shooting,25m Rapid Fire Pistol Men's Qualification - Stage 2,286,points,16,,,
08/03/2012,M,Dave Davies,United Kingdom,Swimming,Men's 1500m Freestyle Heats,15:14.8,time,16,,,
08/03/2012,W,Dailenys Alcantara,Cuba,Athletics,Women's Triple Jump Qualifying Rounds,13.97,metres,16,,,
08/03/2012,W,Dafne Schippers,Netherlands,Athletics,Women's Heptathlon Shot Put - Group A,13.67,metres,16,,,
08/03/2012,M,Constantinos Stathelakos,Cyprus,Athletics,Men's Hammer Throw Qualifying rd - Group B,69.65,metres,16,,,
08/03/2012,M,Borja Vivas,Spa,Athletics,Men's Shot Put Qualifying rd - Group A,18.88,metres,16,,,
08/03/2012,*,Anky Van Grunsven,Netherlands,Equestrian,Dressage Individual Grand Prix,73.343,points,16,,,
08/03/2012,M,Andras Haklits,Croatia,Athletics,Men's Hammer Throw Qualifying rd - Group A,70.61,metres,16,,,
08/03/2012,W,Amy Smith,United Kingdom,Swimming,Women's 50m Freestyle Heats,25.28,time,16,,,
08/03/2012,M,Amin Nikfar,"Iran, Islamic Republic Of",Athletics,Men's Shot Put Qualifying rd - Group B,18.62,metres,16,,,
08/03/2012,M,Alican Kaynar,Turkey,Sailing,Finn - Men's One Person Dinghy (Heavyweight) - Race 09,16,points,16,,,
08/03/2012,M,Canada,,Sailing,49er - Men's Skiff - Race 10,16,points,16,,,
08/03/2012,M,Switzerland,,Sailing,Star - Men's Keelboat - Race 10,16,points,16,,,
08/03/2012,M,Sweden,,Sailing,49er - Men's Skiff - Race 09,16,points,16,,,
08/03/2012,M,Denmark,,Sailing,49er - Men's Skiff - Race 11,16,points,16,,,
08/03/2012,W,Argentina,,Sailing,470 - Women's Two Person Dinghy - Race 01,16,points,16,,,
08/03/2012,M,Portugal,,Sailing,470 - Men's Two Person Dinghy - Race 03,16,points,16,,,
08/03/2012,W,Austria,,Sailing,470 - Women's Two Person Dinghy - Race 02,16,points,16,,,
08/03/2012,M,Germany,,Sailing,470 - Men's Two Person Dinghy - Race 04,16,points,16,,,
08/03/2012,M,Poland,,Swimming,Men's 4 x 100m Medley Relay Heats,03:38.2,time,16,,,
08/03/2012,W,Verena Sailer,Germany,Athletics,Women's 100m rd 1,11.12,metres,15,Q,,
08/03/2012,M,Silas Kiplagat,Kenya,Athletics,Men's 1500m rd 1,03:39.8,metres,15,Q,,
08/03/2012,M,Kurt Couto,Mozambique,Athletics,Men's 400m Hurdles rd 1,49.31,metres,15,Q,,
08/03/2012,W,Katja Dieckow (Ger),,Diving,Women's 3m Springboard Preliminary,303.9,points,15,Q,,
08/03/2012,W,Yana Maksimava,Belarus,Athletics,Women's Heptathlon Shot Put,14.09,metres,15,,,
08/03/2012,M,Viktor Kuznetsov,Ukraine,Athletics,Men's Long Jump Qualifying rd - Group B,7.5,metres,15,,,
08/03/2012,W,Victoria Poon,Canada,Swimming,Women's 50m Freestyle Semi-final,25.17,time,15,,,
08/03/2012,M,Vadym Slobodenyuk,Ukraine,Athletics,Men's 3000m Steeplechase rd 1,08:23.4,metres,15,,,
08/03/2012,M,Tom Slingsby,Australia,Sailing,Laser - Men's One Person Dinghy - Race 07,15,points,15,,,
08/03/2012,W,Tatyana Chernova,Russian Federation,Athletics,Women's Heptathlon 100m Hurdles,13.48,metres,15,,,
08/03/2012,W,Tatyana Chernova,Russian Federation,Athletics,Women's Heptathlon High Jump - Group A,1.8,metres,15,,,
08/03/2012,M,Tapio Nirkko,Finland,Sailing,Finn - Men's One Person Dinghy (Heavyweight) - Race 09,15,points,15,,,
08/03/2012,M,Steven Kari,Papua New Guinea,Weightlifting,Men's 85kg,320,points,15,,,
08/03/2012,W,Sarah Cowley,New Zealand,Athletics,Women's Heptathlon Shot Put - Group B,12.37,metres,15,,,
08/03/2012,M,Raigo Toompuu,Estonia,Athletics,Men's Shot Put Qualifying rd - Group B,18.91,metres,15,,,
08/03/2012,M,Rabiou Guero Gao,Nge,Athletics,Men's 1500m rd 1 - Heat 1,04:05.5,metres,15,,,
08/03/2012,*,Patrik Kittel,Sweden,Equestrian,Dressage Individual Grand Prix,74.073,points,15,,,
08/03/2012,W,Olga Kurban,Russian Federation,Athletics,Women's Heptathlon Shot Put - Group A,13.71,metres,15,,,
08/03/2012,M,Nicolas Figere,France,Athletics,Men's Hammer Throw Qualifying rd - Group B,69.74,metres,15,,,
08/03/2012,M,Mostafa Al-Gamel,Egypt,Athletics,Men's Hammer Throw Qualifying rd - Group A,71.36,metres,15,,,
08/03/2012,W,Monique Jansen,Netherlands,Athletics,Women's Discus Throw Qualifying rd - Group B,57.5,metres,15,,,
08/03/2012,M,Michael Maier,Czech Republic,Sailing,Finn - Men's One Person Dinghy (Heavyweight) - Race 10,15,points,15,,,
08/03/2012,M,Maris Urtans,Latvia,Athletics,Men's Shot Put Qualifying rd - Group A,19.13,metres,15,,,
08/03/2012,M,Marco Fortes,Portugal,Athletics,Men's Shot Put Qualifying Rounds,20.06,metres,15,,,
